hxZ-5wELSJM_0_12, a man is kicking a soccer ball, two men are playing / the ladies played a game / men are playing table tennis / two men are playing table tennis aggressively / two persons play the table tennis / men are playing / two man are playing table tennis / two men are playing table tennis / two players are playing table tennis / two men are playing a table tennis match as the / players is playing / two men are playing table tennis / two men are playing / the two boys are playing / men are playing / two men are playing table tennis / the men are in a table tennis match / two people playing tennis / people were playing table tennis / a table tennis match is under / two player playing table tennis / two men are playing table tennis / players are playing the table tennis / the ladies played a game of / two men are playing / the men are playing table tennis / two men play table tennis in a gym for an / two boys are playing table tennis / a player is beating the ball by the bat / two people are playing / two men are playing / peoples are playing / two men play table tennis / two people play a match / two men are playing table tennis / two men are playing table tennis in front of an / two men play / the men are in a table tennis match
q8t7iSGAKik_57_74, a man is playing with a soccer, a man is playing football / a person is playing football / a man is playing football / the men kicked the soccer ball / a man is playing with football / a man is doing tricks with a soccer ball / two kids are kicking a ball / a person is doing tricks with a soccer ball / a man performs some fancy soccer ball kicks / he plays very well football / a man is doing tricks with a soccer ball / a man is kicking a ball / the men did tricks with a soccer ball / a video of a man showing his skills in football / a man a soccer ball using his feet / a man does tricks with a soccer ball / a man is kicking a soccer ball / a man is playing football in ground / a man does tricks with a soccer ball / a man is kicking a soccer ball up and down / a man is kicking around a soccer ball / a man playing with football / two young men demonstrate how to do soccer maneuvers / a player practicing football / a boy is playing a football / a boy doing stunts with a footbal / a man playing football / a man is kicking a soccer ball / the boy is showing football skills / a man is hitting the ball / the man is playing with a ball with his feet / the persons are playing with their football / a man is kicking a soccer ball / a boy is kicking a ball around / a man is performing tricks with a soccer ball / a guy showing his football skills / a boy is showing off his soccer ball skills / a man does tricks with a soccer ball / the boy is playing with foot ball
mJ9eRvxjLc4_0_16, a baby is playing, a dog is licking the of a baby / a dog licks a baby / a dog licks a baby / a baby is playing with dog / a baby is playing / the dog is licking up the babys spit up / the dog was the baby / the dog licked the babys spit / the dog licked the baby and the spit up / they are playing with dog / the lady shows her baby to her pet dog and / a large black dog is licking the baby a woman / a dog licks up a babys / a dog sucking childs mouth / a dog is licking a baby / very very funny family video / the dog licked the baby and his / a dog is sniffing and licking a baby / a dog is licking a baby / a is licking up baby / a black is licking a baby / a dog is licking a baby / a dog is licking a baby / a dog is licking a babys face / a dog is licking a baby / dog a small kids face / a dog licks up a babys / a dog is playing with a baby and the baby / a dog is licking a baby / a baby is playing the dog / the baby and dog playing / a boy playing with dog / a baby is playing with dog / there is a baby and a dog in a / a dog is licking from a babys face / a dog is licking a baby / a dog kissing by a little boy / a boy has spit on the dog / a dog is licking a baby / a dog is licking a baby / a dog is licking a baby / a dog is playing with a baby / a dog licks a baby
lb8J2zCQTlo_3_8, a woman is cutting meat, a man is cutting the meat with a knife / the person is cutting / a man slices meat / someone is slicing meet / using a knife a man chops thin slices from the / a person is cutting meat / a man is trimming fat from a roast / a person is slicing strips of meat with a long / a man is cutting meat / someone cutting something with knife / someone is cutting a piece of meat / someone a piece of meat / a person is cutting some meat / is slicing meat / a man is cutting meat / a person cutting raw meat / someone is slicing small pieces of meat off of a / a piece of meat is being cut into sections / a chef is cutting a chicken into rounds / someone sliced off the fat from the meat / someone is slicing small pieces of meat off a large / a person is cutting meat / a person is cutting meat / someone is slicing a large piece of raw meat / a man is slicing the meat / a man cuting meat / top layer of a meat is / a person is meat / a person is slicing meat with a knife / fat is being off meat / a person cuts a large piece of meat / a person is cutting the fat off of a piece / a person is cutting meat with a knife / the man is slicing thin strips of beef / fat is cut off a section of meat / a man is slicing the meat / a men is cuting the chiken / a person is cutting meat / the man is showing how to cut a beef / a man trims a big of beef / a man is cutting up a piece of meat / chopping up meat to prepare a yummy dish / fat is being cut off of meat / a man is cutting a / someone is cutting meat / a man is cutting meat / a person is slicing some meat / a person is cutting strips off a piece of meat / someone is slicing a slab of meat / a man is cutting the meat / a man cutting some kind of meat for the meal / the man cutting the big piece of meat into small / a chef slices a slab of meat
xSmfK498DjI_1_20, a woman is playing an instrument, she is playing with knife / a girl is flipping a knife / a woman is performing knife tricks / a woman s playing with a knife / a woman is playing with a knife / a lady playing with a knife / a woman is doing some tricks with knife / a woman is and twirling a knife / a woman is performing tricks with a knife / a woman does tricks with a knife / a girl is playing with a knife / a woman spins a knife around / a woman seated on a chair a knife rapidly / a girl is demonstrating a knife / a woman is demonstrating a knife / a woman is flipping a / the girl flipped a knife around in her hand / a girl is twirling a / a woman is doing tricks with a knife / the woman is playing with a knife / a woman is doing some trick with knife / a woman is moving a knife all around / a woman is doing knife tricks / the lady flipped a knife around / a woman is playing with a knife / one girl is playing with knife / a lady doing some tricks with the knife / a woman is flipping around a knife / nice knife trick performed by a chinese girl with single / a girl is flipping a knife open and closed / a girl is playing with knife / a girl is doing tricks with a knife / a woman is flipping a knife / the lady beautifully use the knife move and / a lady circle the knife by hand / the girl is playing with a knife / a girl is take any thing / a woman demonstrates knife flipping skills
w9mqbwOIkVg_6_12, a girl is singing, a men is doing exercise / a man is doing exercise with / a man is trying to do exercise / the man is lifting weights / a man lifts weights / a man is using hand weights / a man is lifting weights / a man is making his muscle with the help of / man exercising with / a man is doing exercises / the person is doing exercise / a man is exercising / the man lifted small in his hands / a man is rapidly lifting small weights / a man is lifting weights / a man is exercising with small weights / a man is exercising / a man is doing curls / a man is lifting / a man is talking and lifting weights / a men exercising their / a man is doing exercise / a man is doing exercise / a man is doing exercise / he is doing / a his body throw / the man is excercise to body muscles in good / a man is lifting / a man is lifting / a man is lifting weights / a man lifting weights / a man is exercising / a man is exercising / a young man is lifting weights / a man is lifting weights / a man lifts hand weights / a guy working with the to his / a man is weightlifting / the man lifted in each of his hands / a man is doing a weight exercise
kWLNZzuo3do_48_53, a woman is preparing something, a woman is cutting a lemon / a woman is peeling a lemon / the lady cut a piece of lemon / a woman is slicing a vegetable / a man is makeing noodle / someone is shaving a thin slice of lemon peel / the women is showing how to prepare the fruit salad / a woman carefully slices off a piece of lemon / a woman cuts from the of an orange / a woman is peeling something / a lady peels skin of a lemon / a woman slices a lemon / a girl is pealing an orange / a lady is cutting fruit / a woman in a kitchen peels a lemon / a woman is peeling a lemon / a woman coking / the lady cut some lemon / the woman is peeling a lemon / a man is cutting a piece of skin off a / the woman is peeling a lemon / a woman cut a small piece of lemon peel off / a woman from an orange peel / the lady cut a piece of lemon / a woman is peeling a lemon / a woman is slicing a small peel / a chinese lady is cooking noodle with her / a man peeling of an orange with a knife / the woman is peeling lemon / a woman is peeling an orange / a woman is peeling a lemon / a delicious dish attractively served / a woman is peeling an orange / very clear detail for noodle / a man is cutting lemon peel / a woman is thinly slicing the peel off a lemon / a woman is slicing a peel of yellow lemon / a woman is removing the out cover of an orange / a woman makes a fine cut on a vegetable / a woman is cutting lemon peel / a man cooking his kichen / a woman is pealing a lemon / a woman is cutting a bit of peel off of / a woman is peeling a piece off a vegetable / a woman slicing a small lemon peel / a woman is cutting a lemon / a woman cuts a small piece of off a / a woman is cutting pieces of peel off of a / a woman is cutting lemon peel / the lady cut a of lemon / a woman carefully slices a lemon / a woman cuts a small thin round peel from a / a woman cuts off a piece of lemon / a woman is peeling a lemon / a woman slices a fruit / a women is cooking with her dog / a woman is peeling skin off of a fruit / a women is cutting vegetable / she is cutting vegetables / a women is cooking with her dog / a person is slicing lemon peel / a woman is peeling an orange / a woman is cutting a fruit / the person is cooking the something / a woman cuts off a small piece of lemon / a woman slices orange peel / a woman is slicing a lemon / a woman is slicing a lemon / a lady is removing the peel from the fruit / a person is cooking / a man peeling of an orange with a big knife / a woman is peeling a lemon / a woman is peeling a lemon / a female teaching how to make noodle dish / a woman is peeling the skin from a lemon / a woman cutting into an orange / a woman cuts vegetables / a woman is peeling orange / the lady cut a piece of lemon / a woman is cutting a piece of peeling off a / a person coking
m7x8uIdg2XU_67_73, two women are cooking, someone pours a looking substance from a measuring cup / the girls are mixing the milk / a woman is adding sauce to a bowl of pasta / a woman is pouring milk over pasta in a bowl / the womans are preparing the item / the woman is pouring liquid over the pasta / a woman is adding something to a bowl / milk being poured to a bowl of pasta / a woman is pouring ingredients into a bowl / the lady poured the sauce over the cooked noodles / a person is pouring sauce into a bowl of noodles / the lady added a cream sauce to the pasta / a person pours milk onto some noodles / the woman is pouring cream over the pasta / a woman is adding milk to some pasta / a woman is pouring a white liquid into a bowl / women are cooking her kichen / the person is cooking the something / a woman is pouring milk into a bowl of uncooked / a woman is pouring sauce over noodles / the girls are doing the cooking / someone is pouring sauce on pasta / a woman is pouring milk into pasta / a woman is pouring some milk onto noodles / a woman is pouring milk onto some pasta / a woman is pouring milk into a bowl / a woman is pouring sauce on pasta / a person adds ingredients to pasta
yBK02O1Oewc_20_35, a man cooking his kichen, a man is making multiple / two men folding / a man is making out of thin strips of / two men are rolling dough strips and making them into / a person is making something with the meal / two men are long of dough into / noodle / are making / people are large / people making german / people are making / men are folding / dough is being shape into / they are showing how to make / two person are making german / a couple of people are forming out of dough / the persons are preparing food / the are making / two people are rolling dough into / two chefs are making / they are making german / the making of a on line / few chefs in a restaurant making german / men are making / two a rolling / two are / two men are preparing some dish / they are showing how to make german / men are preparing some design with the flour / two men are forming strips of dough into shapes / men are making / some are making german / two individuals are rolling and dough into / people were preparing german / the men formed from the dough / someone is forming out of dough / two men form dough into / two men are rolling dough into shapes / chefs forming dough / people making / women are making / men are dough into / a group of guys were working in the kitchen / two men are folding / are being made / some person are showing how to make german / two people are hand rolling / men are making german / two mans are making german / a man is making / men are making german / men are forming german / people are making / a chef is making german / the are making
qeKX-N1nKiM_68_72, a woman is cutting an egg, a woman is slicing a potato / a chef cutting brinjal into pieces / a woman is slicing a into pieces / a woman is cutting sweet potato / women is slicing vegetable / the lady sliced the vegetable and / a woman is slicing a potato / a women making / the lady cut the vegetable / the woman is slicing a yam / a woman is slicing potatoes / someone slices a potato / a woman is slicing a potato / a woman is slicing a potato / a woman slices a potato / a female chef is slicing vegetables during a cooking show / the women cutting the item / a woman is slicing a potato / a woman is cutting potato / a woman cuts up vegetables / the lady cut a vegetable and a / a women is cutting a potatoe / a woman is slicing a potato / the person is cutting vegetables / the woman is slicing sweet potatoes / a woman slices a raw potato with the skin on / a woman is cutting a potato / a woman is slicing a potato
h0JvF9vpqx8_36_42, a man is playing with a woman, the girl is falling down / a girl down a row of large mushrooms / a women falls down / featuring a song / a lone man in hat and glasses sitting on a / a movie scene where a girl praying to / a girl is slipping down / in is falling down some mushrooms / is falling down into the rabbit hole / fell down the rabbits hole / is falling down a series of mushrooms / girl falling from mushroom / they are playing / a girl is falling down / people sing and dance in a scene / super dress for this video girls and boys / a woman is falling over a stair case / the girl is playing / a woman falls down on large mushrooms / is down some mushrooms / a girl falls / in fell down the rabbit hole / a short clip showing some scaring scenes / the woman fell down / a girl is falling down a mushroom staircase / a woman falls down on mushrooms / the girl went down / a woman is falling down huge mushrooms / a woman falls off some mushrooms / a woman is across / a woman is backwards off a mushroom and downstairs / a girl falls down / a girl is rolling down some mushrooms and stairs
eyhzdC936uk_15_27, a man is playing with a cat, a man is training a dog to give a high / a black poodle is giving a man a / a dog hits a mans hands with its paws while / a man is playing a game of with his / man is giving a dog high / a dog pats his hands with his front paws / the man is playing with the baby bear / a small dog touches his paws to a mans hands / dog is paws with a man / the dog is playing patty cake with the man / a man playing with his dog / a man a small dog / a man plays patty cake with his dog / a man is giving a training to his dog / a man and dog are playing with their / a poodle gives several high / a guy is playing with a puppy / a man is his hands against a sitting dogs / the man is playing with his pet dog / a man is playing with a small black dog / a man is playing with a dog / a man is training a small black dog to give / in video a man is playing with dog / a black poodle is doing high with a guy / a man is playing with his dog / a man plays high five with his small dog / a man is training a dog to sit and touch / man plays with a trained dog / a boy plays hand with his dog / an asian man is training a dog / man teach poodle some trick / a dog is giving a high five to a man / a dog is giving a man a high five / a man is playing with beer / a boy playing with dog / this man is playing with his pet dog / the dog is the man
muI1BFsdbdo_33_45, the men are running, men are racing around a track / the racers ran on the track / players participating in an race / all guys running in running rice / boys are running / a group of players in running competition / the racers toward the finish line / men are running / athletes are competing in meter race / the men are in a running race / some runners are running in race / men are running / men are running in a race / the men are in a running race / a of an athlete / men are racing / men are running a race / several men are running on racing track / men are running in the race / a group of men are racing on a track / a man is sprinting well ahead of the others in / the men are running / a group of men race down a track / a group of men are running / a group of men run a race / runners is running in the race / several runners are racing / shot of a race in which the a / a person is the running race / racers are running down a track / the men are running a race / men run a race
wFPmKChNrhU_3_11, a woman is riding a horse, a person walking on horse / a cowboy circles his horse on a / a cow boy riding the horse / a man is ridding / a man riding a horse in some kind of / a man is riding on horse / a man is riding a horse / a man is riding a horse / a man is riding a horse in the desert / a man in cowboy rides a horse in a / a man rides his horse in the / a man gallops on a horse across the desert / a man is riding round a horse / a cowboy is riding a horse / a man in a cowboy hat is riding a horse / a man is riding a horse / a guy is riding on the horse / a man rides a horse / the cowboy rode his horse in the desert / a man riding a horse / the person is riding the horse / a is riding a horse / a man riding horse / the cowboy rode his horse / a man riding a horse / a man ride on a horse / a cowboy rides a horse / the man is riding a horse / the man is riding the horse / a guy is selling the horses / horses are nice / one person is doing horse riding / a man is riding a horse / one man riding on horse / a man is riding a horse on an open ground / a man is riding a horse in the desert / a man riding on the horse and enjoy / a man is riding in a horse / how do horses / he is raiding / a guy is riding a horse / a man is riding a horse / a man is riding on a horse / a man is riding a horse / a man is riding a horse / a man is riding the horse
sJC7E06IBXI_49_59, someone is driving a car, the underwater car is running on the road / a person driving a car / somebody is boating / a car is moving down a road / someone is driving a car / underwater car moving on the road / a car set by a remote control device / a car is driving along the road / the car is moving without a driver / a car is moving without the driver and it is / a convertible drives along a road / a car is driving by itself / a car is driving itself / the car is moving down the road / a vehicle is driving down the street / a car is moving with out a driver / a car is moving on its own / someone is driving a convertible slowly / a car without a driver drives down a road / a person driving a car / a car is driving by itself / a white convertible went down the road / the white car is moving down the road / the white convertible traveled down the road by remote control / a car is running on the road without driver / a car is driving by itself / an automatic running on the road without driver / a car is driving on its own / a car is driving down a road / a car is going down a road without a driver / a car is driving down the street / a remote control car is passing through / a car is driving down a road / a white car is running without a driver along a / a boat car takes a test drive down the highway
fIaLVw_Gc_w_99_109, a woman is cutting eye, a woman applies eye shadow / a young spanish lady demonstrating how to apply various types / a woman is applying blue eye shadow to the inside / a girl applied green eye shadow with a brush / a woman is applying eye / a woman is applying eyeshadow to her eyelids / a woman applying eye on her eye / an women make up her eye / a woman is / a woman applies eye shadow to her / a woman is applying eyeshadow / a woman is on some green eye shadow / a woman is putting on eye makeup / a women is her eye / a girl is using a eye shadow on her eyes / a woman is on eyeshadow / a woman is putting makeup / the woman is putting on eye makeup / a woman applying eye shadow / a woman is doing a eye makeup / a woman puts makeup on / of eyes / a woman is applying on her eyes / a woman is doing eye makeup / the woman is putting on blue eye shadow / a woman is putting on green eyeshadow / a girl doing some sort of makeup above her eyes / the lady is putting on makeup / a woman is applying eye makeup / the girl is applying eye makeup / a woman is applying eyelashes / a woman is applying eye shadow / a lady is applying eyeshadow on her / a girl is putting eye shadow / a woman applies blue eyeshadow / a girl is putting on eye shadow / a girl applied eye makeup with a brush / a woman is applying makeup to her eyelids / a woman is applying eye makeup / a woman is applying eye liner / a woman is applying eye makeup / a woman putting eye makeup with a pencil / a woman is applying green eyeshadow on her / a girl is applying eyeshadow / a woman is applying eye makeup / applying pretty green eye makeup / a woman is her eye / a woman is doing make up on her eye lid / a woman is applying eyeshadow on the inner side / a girl is applying eye shadow / a woman is applying blue to her / green makeup is being applied to a with / a girl is applying eye shadow on her left / a woman is putting on eyeshadow / a woman is applying makeup to her eyelids / a woman is putting on eye shadow / a woman is making an eyeshadow
inzk2fTUe1w_1_15, the person is cutting the something, a showing how to peel a banana / peeling a banana / a banana is being peeled / someone peels a banana / peel the banana skin from the tip end towards / the man is peeling a banana / of banana is off / a person opening a banana / a man is peeling a banana / a man pealing a banana / a man is peeling a banana / a banana is being peeled / someone is pealing the skin of a banana / a woman is opening a banana / very clear how to banana open / someone is peeling a banana / someone is peeling a banana from the bottom / a person is peeling a banana / a banana is peeled / person peeling a banana / a person is peeling a banana / a man peeled a banana from the bottom / how to open a banana / a man slicing banana / someone is peeling a banana / a banana is being peeled / a person is peeling a banana / a guy opening the banana / a man is demonstrating the correct technique for opening a / a person is peeling a banana / a person is peeling a banana / a person is peeling a banana / the person is peeling a banana / someone is peeling a banana / a man is peeling banana from the bottom end / a man skinning yellow / a woman is removing the banana peel / start peeling a banana from the bottom edge one by / an individual is peeling a banana / man opening / the person is peeling a banana / a person is peeling a banana from the bottom / a man is peeling a banana / a person is peeling the skin of a banana from / somone is peeling a banana / peeling off the banana / a person is peeling a banana / someone opened the banana from its bottom / someone peels a banana / a person is peeling a banana on a table / a person is peeling a banana from the round end / a man peels a banana / someone is opening a banana / someone is peeling a banana from the bottom end / a person is opening a banana / a man is peeling a banana
kWLNZzuo3do_17_23, a woman is cutting vegetables, a woman is slicing a onion / a woman is cutting pieces off of a leek using / a woman is slicing onion / a person slices food / a woman is slicing an onion into pieces / a women is slicing / a woman is cutting green onion / a woman is cutting a plant / a woman is chopping a vegetable / a lady is cutting vegetable / describe to make noodles / a woman slicing up a / a woman is cutting an onion / a woman is slicing a leek / a man cooking his kichen / the lady cut up a green onion / a woman is chopping an onion / a woman is slicing a with her poodle / a woman is slicing an onion / the lady the green onion / a woman is talking about how to make / a woman is slicing a leek / a woman is cutting a / a woman cuts vegetables / the lady is cutting the / the woman is slicing a spring onion / a woman is cutting a / a lady is boiling something / a woman cuts a long vegetable / a person making noodle / a woman is slicing a leek / a woman is slicing a leek / a lady is cutting the vegetable / a girl is cutting some vegetable / the woman is slicing / a woman is chopping a vegetable / a person coking / a woman is slicing a leek / someone is preparing something / a woman is cooking / a woman is slicing some vegetables / the man tasting a bean which is cooked by / the lady sliced a green onion / a woman is cutting up a leek / the woman is slicing a leek / the woman is slicing a leek / a woman is slicing onions with a large knife / a woman is cutting an onion / a woman is slicing vegetables / the lady cut the green onion / a woman is slicing onions / how to make noodle video / a woman with a knife is slicing a vegetable / the women is cutting the something / a woman cuts a large green vegetable into / the lady cut up the green onion / a woman is slicing a leek / the woman is slicing / a woman is cutting a onion / a woman is cutting an onion up / the women is cooking something / a lady is cutting something / a woman is slicing a onion / a woman cuts up vegetables / a woman is cutting a large green onion into pieces / a woman is slicing onion / a woman is cutting a onion / a woman demonstrates how to cut a leek / a woman is cutting a leek into slices / a woman is cutting a vegetable / a woman slices fruit
