qRoxNXm7INc_58_66, a cat is playing, the man pet the cat on his head / someone is petting a cat that is laying on its / a person playing with a cat / someone a cats head / a man is playing with a cat / the person is petting the cat / a cat when rubbed / a cat is being petted / someone is petting a cat / someone petting a brown and white cat / a person is petting a cat / a cat is playing / the person is playing with the cat / the person is playing with the cat / a cat / a cat is playing / a person is petting a cat / the cat is being petted / someone is rubbing the head of a cat lying down / a person is petting a cat / someone pet the cat on its head / a person is petting a cat / a cat is getting petted by a person / someone is playing with a cat / a person is playing with cat / a man is pampering the cat
wn9rDTZj-m4_8_18, a woman is playing a violin, a girl is playing gittar / the little girl is playing the violin / the girl played the violin on the beach / a small girl playing the violin / a young girl is playing a violin / a small girl standing on sand is playing the violin / a girl is playing the violin / the girl is playing the violin / a kid is playing violin / a girl is playing a violin / a girl is playing violin / a young girl is playing a violin on the beach / a girl is playing a violin / a little girl plays the violin on a beach / a girl is playing a violin /  / a girl is playing a violin on the beach / a girl is playing the violin / cute girl playing music very well / a girl plays a violin on the beach / a girl is playing a violin / a kid is playing the violin / a girl is playing the violin / a girl is playing violen / a girl plays the violin / a girl plays a violin / a little girl is playing her violin on the beach / a little girl plays an instrument in the sand / the little girl played the violin / the cute baby is playing violin / the girl is playing violin / the girl is play violin / a girl is playing musical instrument / a young girl is playing the violin on a beach / a girl is playing a violin / a little girl is playing a violin / a girl playing violin / a child is playing the music / a girl are singing a song / a girl is playing violin / a girls is playing a violin / a girl plays the violin / a girl is playing the violin
hJFBXHtxKIc_163_168, the person is cooking the something, a person is sprinkling seasonings into a pan of meat / the man seasoned the in the pot / a person is pouring spices into a pot on the / a man is putting the pepper for the hot dog / the man seasoned the in the pot / a cook seasons some sausage / a cook seasons some meat / the man is seasoning / a person seasons / a man seasons meat in a pot / a man is adding some spice to a bowl / a man cooking his kichen / a person is adding seeds in the pot / a pot of sausage is being seasoned / someone is seasoning sausage in a saucepan / a person is adding seasonings to a pot that is / a chef sprinkling spices into a dish / someone is pouring spices into a pot of / a guy teaching how to make sauce / any one is making dish / the person is boiling the something / someone is seasoning food / someone is putting seasonings in a pot of sausage / jack shows how to prepare the food / a man is seasoning meat / the man is seasoning the / a man is sprinkling spices onto in a pan / someone is seasoning sausage in a pot / a person making spaghetti sauce / someone is seasoning some meat
nPj6EcVGoUY_7_15, a dog is playing, the is the dog / a dog is trying to catch a fly / a dog is playing with an ant / a dog is trying to catch the fly / a dog is making fun with a fly / a dog is observing a bug / a dog is pawing a fly / a dog plays with a fly on a carpet / dog playing with a fly / the dog played with a bug on the carpet / a dog is playing with a fly / a dog is trying to catch a fly / a dog is playing with a fly on the floor / a dog trying to hit a fly / a dog is playing with a fly / a dog is playing with a ball / the dog is playing with the fly / a brown dog barks and tries to a / a dog playing with a fly / a dog is playing with a fly / a beagle dog is on the floor watching a fly / a dog is trying to touch a fly / fight with a small creature by dog / a dog catching a / a dog is playing with a fly / and fly playing / a dog is playing with a fly / the dog is playing with / the dog is teasing a fly / a dog bats at a fly / a dog playing with a fly / a dog is trying to catch a fly / a dog plays with a / a dog is playing with a fly on the / a dog is playing with a fly / a dog paws at a fly / a dog playing with a fly / the dog played bug / a dog is playing with a fly / a dog trying to hit the fly / a dog plays with a fly without it / a dog is barking at a fly / a dog is trying to get a fly on the / a dog playing with fly / a dog barks at the fly and it wanted / a dog is trying to scare a fly / a dog is playing / the dog is barking to the fly / a dog is at a bug / a dog is playing with a fly / a dog is barking at a fly / a dog is playing with a fly / a dog is pawing at a fly in the carpet / a dog is playing with an insect / a dog is playing with a fly / a dog play with a / a dog is playing with fly / a dog is playing with a bug
rw9h_574HxE_127_133, a man is running, a man and woman and walking / the man and woman are walking / a boy and girl are walking in garden / a man and woman are walking / a man and a woman are walking together / the couple walked arm in arm down the path / a view of a forest / a man and woman are walking arm in arm through / a man and a woman are walking in the woods / a man and woman are walking in the woods / the couple are walking and hugging / a man and woman are walking together / a man and woman are walking / a man and a girl are walking / a man with his / a man and woman are walking together through the woods / a man and a woman walk through the woods / a man and woman are walking / the couple walked down the path together / a man and a woman are walking in the woods / a man and a woman walk through the woods / a man and woman walking hold each other / a man and a woman are walking along a trail / a men and women walking in forest / a man and a woman are walking / a couple are walking through the woods / a couple is walking through the woods / a couple is walking through the woods / a couple is walking in a park / a woman and a man with their arms around each / a couple is walking in a forest / two people are walking through the woods / the couple walked arm in arm down the path / singing together / a man and woman are walking through a field
j2sOMdilDWU_87_97, the person is cutting the something, a person someones leg / an artist drawing some kind of drawing on paper / someone is drawing / a person is drawing by a pencil / a man is drawing something / someone is drawing a picture / a man is drawing / the man is drawing / the man is drawing / a man is drawing / the man drew on the white paper / a drawing / someone is drawing / a man is drawing a picture / a man drawing on paper / someone draws a human leg / a man is drawing something on a piece of paper / a person is drawing on a piece of paper / the person is drawing the / a man is drawing / the man drew on the pad of paper / a man is making the drawing on the paper sheet / a man is drawing / a man is on a pad / a man is drawing on a paper / it is very the of the i / the man drew on the pad of paper / drawing / the man is drawing with all of his / a man is drawing
uiLr9bdOL0M_23_30, a bird is eating, a bird picks up a cup with its beak / a bird is taking glass / the bird put the cup into the bowl / the bird put the cup into the bowl / a bird lifts a small cup and puts it into / a parrot is taking a cap into pot / a bird moves a plastic cup into a bowl / a bird picks up a cup with its beak / a bird looking in the cup for their food / a parrot puts a container into a bowl / a bird is picking up a cup / the bird is working and its owner is give a / a bird picks up a glass with its beak and / the is eating the nuts / the is eating the nuts / a bird picks up a cup and puts it in / the bird take the and put it in the / a parrot is putting a cup of liquid into a / a parrot is moving a glass on a tabletop / a bird picks up a plastic cup containing a liquid / a bird is picking up a glass and putting it / its a parrot talking / a large bird standing on a table picks up a / a bird grabs a cup / a bird places a cup into a plate of food / a parrot is putting a small glass in the food / a parrot is taking a / a bird is eating / a parrot standing on a on the table picks / the bird put the small cup in the bowl
nZSFn51l3hc_660_666, a man is preparing something, a man is cutting up some / a person is slicing a rack of / the man cut the off the rack / someone is cutting barbecue / someone cut a rack of bbq / a man cooking his kichen / the man is cutting the / someone is cutting a slab of / the man the from the rack / this fry was nice / someone is cutting some meat / the man is slicing the / someone is cutting / someone preparing something / someone is slicing meat / a person cuts some meat / a person is cutting with a knife / starting to slice bbq / a man is slicing / a person is cutting a meat / the men cutting / someone holding a rack of with tongs slices off / a man cuts a slice from a pork meat / a lady is cutting the meat using knife / a person is slicing some meat / someone is slicing some meat
jbzaMtPYtl8_48_58, a man is doing a wheelie, a strong person pulling a big tyre / how is the man / two men compete in a tire rolling race / two men race by flipping a large truck tyre / men are turning over / the men are moving the huge / two men are moving / two men are pushing large / the men are rolling huge in a race / two men are rolling / men are rolling big tyre / men are pushing large / two men push along the ground / two men are pushing large / men are rolling / a man is lifting and pushing a tyre / some persons are lift the heavy / two people flipped in a race / men are flipping / two men are moving / two men are rolling heavy tyre / the man is lifting the weight / two man playing a game with tyre / two men are rolling the big tyre / two men each flip a huge tire down the pavement / in a race held each of the two men is / two men are flipping heavy / two men are flipping over / two men are rolling / two people flipped in a race / men are flipping large / men are pushing large / men are in a race / two men are rolling huge sideways down a street / men are flipping large in a race / the person is doing the something / a short clip about a man at / men are moving / men are flipping
xxHx6s_DbUo_216_222, a man is running, a man is / people traveling different places in the world / a man is doing yoga / a man is praying / a man is sitting cross on the ground / the man is / a man / the boy is doing the yoga / a man is seated in a garden with his eyes / a man is / a man is sitting down / a man is / an actor is closing his eyes / the man in the yard / a man is doing yoga / the man outside / a man is / the man in the yard / a couple are singing a song together / a man is when the scene flashes to a / a man performing yoga / a man is / pawan kalyan is about his dance / a man is sitting with crossed legs / the man is / a man is / a man is doing yoga / doing the yoga / a man is / a man / a man is / a man is doing yoga
